Location;Time;Happiness
SLE;2007;3.6
SLE;2008;3
SLE;2010;4.1
SLE;2011;4.5
SLE;2013;4.5
SLE;2014;4.5
SLE;2015;4.9
SLE;2016;4.7
SLE;2017;4.1
SLV;2007;5.3
SLV;2008;5.2
SLV;2009;6.8
SLV;2010;6.7
SLV;2011;4.7
SLV;2012;5.9
SLV;2013;6.3
SLV;2014;5.9
SLV;2015;6
SLV;2016;6.1
SLV;2017;6.3
SOM;2009;5
SOM;2010;4.7
SOM;2011;4.9
SOM;2012;5.1
SOM;2014;5.5
SOM;2015;5.4
SOM;2016;4.7
SRB;2007;4.8
SRB;2009;4.4
SRB;2010;4.5
SRB;2011;4.8
SRB;2012;5.2
SRB;2013;5.1
SRB;2014;5.1
SRB;2015;5.3
SRB;2016;5.8
SRB;2017;5.1
SSD;2014;3.8
SSD;2015;4.1
SSD;2016;2.9
SSD;2017;2.8
SUR;2012;6.3
SVK;2010;6.1
SVK;2011;5.9
SVK;2012;5.9
SVK;2013;5.9
SVK;2014;6.1
SVK;2015;6.2
SVK;2016;6
SVK;2017;6.4
SVN;2009;5.8
SVN;2010;6.1
SVN;2011;6
SVN;2012;6.1
SVN;2013;6
SVN;2014;5.7
SVN;2015;5.7
SVN;2016;5.9
SVN;2017;6.2
SWE;2007;7.2
SWE;2008;7.5
SWE;2009;7.3
SWE;2010;7.5
SWE;2011;7.4
SWE;2012;7.6
SWE;2013;7.4
SWE;2014;7.2
SWE;2015;7.3
SWE;2016;7.4
SWE;2017;7.3
SWZ;2011;4.9
SYR;2008;5.3
SYR;2009;5
SYR;2010;4.5
SYR;2011;4
SYR;2012;3.2
SYR;2013;2.7
SYR;2015;3.5
TCD;2007;4.1
TCD;2008;4.6
TCD;2009;3.6
TCD;2010;3.7
TCD;2011;4.4
TCD;2012;4
TCD;2013;3.5
TCD;2014;3.5
TCD;2015;4.3
TCD;2016;4
TCD;2017;4.6
TGO;2008;2.8
TGO;2011;2.9
TGO;2014;2.8
TGO;2015;3.8
TGO;2016;3.9
TGO;2017;4.4
THA;2007;5.8
THA;2008;5.6
THA;2009;5.5
THA;2010;6.2
THA;2011;6.7
THA;2012;6.3
THA;2013;6.2
THA;2014;7
THA;2015;6.2
THA;2016;6.1
THA;2017;5.9
TJK;2007;4.4
TJK;2008;5.1
TJK;2009;4.6
TJK;2010;4.4
TJK;2011;4.3
TJK;2012;4.5
TJK;2013;5
TJK;2014;4.9
TJK;2015;5.1
TJK;2016;5.1
TJK;2017;5.8
TKM;2009;6.6
TKM;2011;5.8
TKM;2012;5.5
TKM;2013;5.4
TKM;2014;5.8
TKM;2015;5.8
TKM;2016;5.9
TKM;2017;5.2
TTO;2008;6.7
TTO;2011;6.5
TTO;2013;6.2
TTO;2017;6.2
TUN;2009;5
TUN;2010;5.1
