alcohol,average_wages,cancer,employment_rate,happiness,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time,hours_worked,gdp,education
8.4,38.2,214.3,71.4,7.5,80.8,19.75,CAN,50,1712,16.2,7081.9,11.1,2009.0,1712.0,38896.015825,87.531931
8.4,38,210.6,71.5,7.7,81.1,19.95,CAN,54.6,1715,16.3,7028.2,11.1,2010.0,1715.0,1363823.0163,88.263113
8.4,38,210.6,71.5,7.7,81.1,19.95,CAN,54.6,1715,16.3,7028.2,11.1,2010.0,1715.0,40106.220473,88.263113
8.2,37.6,208.5,71.8,7.4,81.3,20.1,CAN,50.5,1713,15.7,6943.9,10.8,2011.0,1713.0,1430807.1253,88.631523
8.2,37.6,208.5,71.8,7.4,81.3,20.1,CAN,50.5,1713,15.7,6943.9,10.8,2011.0,1713.0,41662.530677999996,88.631523
8.3,36.7,205.6,72,7.4,81.5,20.3,CAN,50.9,1722,16.1,7009.8,10.8,2012.0,1722.0,1468095.7685,88.964679
8.3,36.7,205.6,72,7.4,81.5,20.3,CAN,50.9,1722,16.1,7009.8,10.8,2012.0,1722.0,42246.69767,88.964679
8.2,36.6,203,72.4,7.6,81.7,20.45,CAN,56.2,1716,14.9,6993.5,11.1,2013.0,1716.0,1554122.7451,89.54221
8.2,36.6,203,72.4,7.6,81.7,20.45,CAN,56.2,1716,14.9,6993.5,11.1,2013.0,1716.0,44211.037410000004,89.54221
8,36.4,208.8,72.3,7.3,81.8,20.55,CAN,52.5,1710,14,7047.4,11.5,2014.0,1710.0,1621391.8322,89.988541
8,36.4,208.8,72.3,7.3,81.8,20.55,CAN,52.5,1710,14,7047.4,11.5,2014.0,1710.0,45627.577143,89.988541
8,35.2,196.8,72.5,7.4,81.9,20.6,CAN,58.25,1712,13.1,7456.2,11.8,2015.0,1712.0,1594897.6212,90.4021091
8,35.2,196.8,72.5,7.4,81.9,20.6,CAN,58.25,1712,13.1,7456.2,11.8,2015.0,1712.0,44671.364618,90.4021091
8.1,34.3,,72.6,7.2,82,20.7,CAN,53.1,1706,12.5,,,2016.0,1706.0,1628880.1751,90.60881140000001
8.1,34.3,,72.6,7.2,82,20.7,CAN,53.1,1706,12.5,,,2016.0,1706.0,45109.47982,90.60881140000001
8.1,34.4,,73.4,7.4,82,20.7,CAN,56.45,1695,12,,,2017.0,1695.0,1710461.6154,91.1270618
8.1,34.4,,73.4,7.4,82,20.7,CAN,56.45,1695,12,,,2017.0,1695.0,46810.319383,91.1270618
10.4,54.6,190.6,78.6,,82,20.4,CHE,37.3,1668.9,20.4,7498.3,16.9,2007.0,1668.9,375640.596,85.957571
10.4,54.6,190.6,78.6,,82,20.4,CHE,37.3,1668.9,20.4,7498.3,16.9,2007.0,1668.9,49500.237498,85.957571
10.2,53.2,185.7,79.5,,82.2,20.6,CHE,,1659.5,,7425.6,16,2008.0,1659.5,402150.9841,86.80794
10.2,53.2,185.7,79.5,,82.2,20.6,CHE,,1659.5,,7425.6,16,2008.0,1659.5,52362.64918,86.80794
10.1,51.9,183.2,79,7.5,82.3,20.6,CHE,,1650.8,,7918.6,13.4,2009.0,1650.8,400890.6902,86.916798
