alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
,,,,,,4.3,,,,CMR,,,,,,2008
,,,,,,4.7,,,,CMR,,,,,,2009
,,,,,,4.6,99.6,,,CMR,,,,,,2010
,,,,,,4.4,99.6,,,CMR,,,,,,2011
,,,,,,4.2,99.6,,,CMR,,,,,,2012
,,,,,,4.3,99.6,,,CMR,,,,,,2013
,,,,,,4.2,99.6,,,CMR,,,,,,2014
,,,,,,5,99.6,,,CMR,,,,,,2015
,,,,,,4.8,99.6,,,CMR,,,,,,2016
,,,,,,5.1,99.6,,,CMR,,,,,,2017
,,,,,,4,,,,COD,,,,,,2009
,,,,,,,100,,,COD,,,,,,2010
,,,,,,4.5,100,,,COD,,,,,,2011
,,,,,,4.6,100,,,COD,,,,,,2012
,,,,,,4.5,100,,,COD,,,,,,2013
,,,,,,4.4,100,,,COD,,,,,,2014
,,,,,,3.9,100,,,COD,,,,,,2015
,,,,,,4.5,100,,,COD,,,,,,2016
,,,,,,4.3,100,,,COD,,,,,,2017
,,,,,,3.8,,,,COG,,,,,,2008
,,,,,,,99.9,,,COG,,,,,,2010
,,,,,,4.5,99.9,,,COG,,,,,,2011
,,,,,,3.9,99.9,,,COG,,,,,,2012
,,,,,,4,99.9,,,COG,,,,,,2013
,,,,,,4.1,99.9,,,COG,,,,,,2014
,,,,,,4.7,99.9,,,COG,,,,,,2015
,,,,,,4.1,99.9,,,COG,,,,,,2016
,,,,,,4.9,99.9,,,COG,,,,,,2017
4.6,,167.8,,60.2,9729,6.1,,72.8,,COL,,,,,5.4,2007
4.4,,163.2,,60.5,10139.6,6.2,,73,,COL,,,17.1,,5.5,2008
4.3,,159.7,,62.3,10301.2,6.3,,73.2,,COL,,,,,5.4,2009
4.2,,157.6,,63.7,10741.5,6.4,99.5,73.4,,COL,,,,,4.9,2010
4.3,,148.1,,65.1,11553.7,6.5,99.5,73.5,,COL,,,,,4.7,2011
4.4,,150.4,,66.3,12165.9,6.4,99.5,73.7,,COL,,,,,4.8,2012
