LOCATION;TIME;Pollution
POL;2011;100
POL;2012;100
POL;2013;100
POL;2014;100
POL;2015;100
POL;2016;99.9
POL;2017;99.9
PRK;2010;99.7
PRK;2011;99.7
PRK;2012;99.7
PRK;2013;99.7
PRK;2014;99.7
PRK;2015;99.7
PRK;2016;99.7
PRK;2017;99.7
PRT;2010;50.9
PRT;2011;55
PRT;2012;29.4
PRT;2013;29.4
PRT;2014;23.8
PRT;2015;26.2
PRT;2016;14
PRT;2017;15.1
PRY;2010;100
PRY;2011;100
PRY;2012;100
PRY;2013;100
PRY;2014;100
PRY;2015;100
PRY;2016;99.3
PRY;2017;99.4
QAT;2010;100
QAT;2011;100
QAT;2012;100
QAT;2013;100
QAT;2014;100
QAT;2015;100
QAT;2016;100
QAT;2017;100
ROU;2010;100
ROU;2011;100
ROU;2012;99.1
ROU;2013;98.9
ROU;2014;97.9
ROU;2015;98.9
ROU;2016;97.6
ROU;2017;97.5
RUS;2010;95.9
RUS;2011;95.2
RUS;2012;94.4
RUS;2013;92.2
RUS;2014;92.1
RUS;2015;90.3
RUS;2016;90.4
RUS;2017;90.3
RWA;2010;100
RWA;2011;100
RWA;2012;100
RWA;2013;100
RWA;2014;100
RWA;2015;100
RWA;2016;100
RWA;2017;100
SAU;2010;99.6
SAU;2011;99.6
SAU;2012;99.6
SAU;2013;99.6
SAU;2014;99.6
SAU;2015;99.6
SAU;2016;99.6
SAU;2017;99.6
SDN;2010;100
SDN;2011;100
SDN;2012;100
SDN;2013;100
SDN;2014;100
SDN;2015;100
SDN;2016;100
SDN;2017;100
SEN;2010;100
SEN;2011;100
SEN;2012;100
SEN;2013;100
SEN;2014;100
SEN;2015;100
SEN;2016;100
SEN;2017;100
SGP;2010;100
SGP;2011;100
SGP;2012;100
SGP;2013;100
SGP;2014;100
SGP;2015;100
SGP;2016;100
SGP;2017;100
SLE;2010;99.7
SLE;2011;99.7
SLE;2012;99.7
SLE;2013;99.7
SLE;2014;99.7
SLE;2015;99.7
SLE;2016;99.7
SLE;2017;99.7
SLV;2010;99.7
SLV;2011;99.7
SLV;2012;99.7
SLV;2013;99.7
SLV;2014;99.7
SLV;2015;99.7
SLV;2016;99.7
SLV;2017;99.7
SOM;2010;99.5
SOM;2011;99.5
SOM;2012;99.5
SOM;2013;99.5
SOM;2014;99.5
SOM;2015;99.5
SOM;2016;99.5
SOM;2017;99.5
SRB;2010;100
SRB;2011;100
SRB;2012;100
SRB;2013;100
SRB;2014;100
SRB;2015;100
SRB;2016;100
SRB;2017;100
SVK;2010;100
SVK;2011;100
SVK;2012;100
SVK;2013;100
SVK;2014;100
SVK;2015;100
SVK;2016;100
SVK;2017;100
SVN;2010;100
SVN;2011;100
SVN;2012;100
SVN;2013;100
SVN;2014;100
SVN;2015;100
SVN;2016;99.9
SVN;2017;99.9
SWE;2010;4.2
SWE;2011;6.2
SWE;2012;3.1
SWE;2013;3
SWE;2014;3.2
SWE;2015;3
SWE;2016;3
SWE;2017;3
SWZ;2010;100
SWZ;2011;100
SWZ;2012;100
SWZ;2013;100
SWZ;2014;100
SWZ;2015;100
SWZ;2016;100
SWZ;2017;100
SYR;2010;99.8
SYR;2011;99.8
SYR;2012;99.8
SYR;2013;99.8
SYR;2014;99.8
SYR;2015;99.8
SYR;2016;99.8
SYR;2017;99.8
TCD;2010;100
TCD;2011;100
TCD;2012;100
TCD;2013;100
TCD;2014;100
TCD;2015;100
TCD;2016;100
TCD;2017;100
TGO;2010;99.9
TGO;2011;99.9
TGO;2012;99.9
TGO;2013;99.9
TGO;2014;99.9
TGO;2015;99.9
TGO;2016;99.9
TGO;2017;99.9
THA;2010;99.7
THA;2011;99.7
THA;2012;99.7
THA;2013;99.7
THA;2014;99.7
THA;2015;99.7
THA;2016;99.7
THA;2017;99.7
TJK;2010;100
TJK;2011;100
TJK;2012;100
TJK;2013;100
TJK;2014;100
TJK;2015;100
TJK;2016;100
TJK;2017;100
TKM;2010;100
TKM;2011;100
TKM;2012;100
TKM;2013;100
TKM;2014;100
TKM;2015;100
TKM;2016;100
TKM;2017;100
TLS;2010;100
TLS;2011;100
TLS;2012;100
TLS;2013;100
TLS;2014;100
TLS;2015;100
TLS;2016;100
TLS;2017;100
TTO;2010;99.1
TTO;2011;99.1
TTO;2012;99.1
TTO;2013;99.1
TTO;2014;99.1
TTO;2015;99.1
TTO;2016;99.1
TTO;2017;99.1
TUN;2010;99.4
TUN;2011;99.4
TUN;2012;99.4
TUN;2013;99.4
TUN;2014;99.4
TUN;2015;99.4
TUN;2016;99.4
TUN;2017;99.4
TZA;2010;100
TZA;2011;100
TZA;2012;100
TZA;2013;100
TZA;2014;100
TZA;2015;100
TZA;2016;100
TZA;2017;100
UGA;2010;100
UGA;2011;100
UGA;2012;100
UGA;2013;100
UGA;2014;100
UGA;2015;100
UGA;2016;100
UGA;2017;100
UKR;2010;99.9
UKR;2011;99.9
UKR;2012;99.9
UKR;2013;99.9
UKR;2014;99.9
UKR;2015;99.9
UKR;2016;99.9
UKR;2017;99.9
URY;2010;88.2
URY;2011;95.3
URY;2012;67
URY;2013;61.8
URY;2014;22.5
URY;2015;19.8
URY;2016;16.1
URY;2017;16.1
USA;2010;37.2
USA;2011;45.6
USA;2012;27.9
USA;2013;20.3
USA;2014;11.1
USA;2015;8.1
USA;2016;3.1
USA;2017;3.1
UZB;2010;100
UZB;2011;100
UZB;2012;100
UZB;2013;100
UZB;2014;100
UZB;2015;100
UZB;2016;100
UZB;2017;100
VEN;2010;99.7
VEN;2011;99.7
VEN;2012;99.7
VEN;2013;99.7
VEN;2014;99.7
VEN;2015;99.7
VEN;2016;99.6
VEN;2017;99.6
VNM;2010;99.5
VNM;2011;99.5
VNM;2012;99.5
VNM;2013;99.5
VNM;2014;99.5
VNM;2015;99.5
VNM;2016;99.5
VNM;2017;99.5
WLD;2010;94.3
WLD;2011;94.9
WLD;2012;93.4
WLD;2013;92.6
WLD;2014;91.5
WLD;2015;91.3
WLD;2016;90
WLD;2017;89.9
YEM;2010;99.4
YEM;2011;99.4
YEM;2012;99.4
YEM;2013;99.4
YEM;2014;99.4
YEM;2015;99.4
YEM;2016;99.4
YEM;2017;99.4
ZAF;2010;100
ZAF;2011;100
ZAF;2012;100
ZAF;2013;100
ZAF;2014;100
ZAF;2015;100
ZAF;2016;100
ZAF;2017;100
ZMB;2010;100
ZMB;2011;100
ZMB;2012;100
ZMB;2013;100
ZMB;2014;100
ZMB;2015;100
ZMB;2016;100
ZMB;2017;100
ZWE;2010;100
ZWE;2011;100
ZWE;2012;100
ZWE;2013;100
ZWE;2014;100
ZWE;2015;100
ZWE;2016;100
ZWE;2017;100
