LOCATION,TIME,Average Wages,Hours worked,Education,Pollution,GDP,Happiness,Social spending,Employment rate,Alcohol,Smokers,Cancer,Suicide,LifeAtOld,LifeAtBirth,Obese
CAN,2011,37.6,18.3,46203.4,1713.0,41662.5,7.4,6943.9,71.8,8.2,15.7,208.5,10.8,201,81.3,50.5
CAN,2012,36.7,8.8,47275.5,1722.0,42246.7,7.4,7009.8,72.0,8.3,16.1,205.6,10.8,203,81.5,50.9
CAN,2013,36.6,7.1,48191.6,1716.0,44211.0,7.6,6993.5,72.4,8.2,14.9,203.0,11.1,"2,045",81.7,60.3
CAN,2013,36.6,7.1,48191.6,1716.0,44211.0,7.6,6993.5,72.4,8.2,14.9,203.0,11.1,"2,045",81.7,52.1
CAN,2014,36.4,2.6,48717.5,1710.0,45627.6,7.3,7047.4,72.3,8.0,14.0,208.8,11.5,"2,055",81.8,52.5
CAN,2015,35.2,0.9,48979.3,1712.0,44671.4,7.4,7456.2,72.5,8.0,13.1,196.8,11.8,206,81.9,64.1
CAN,2015,35.2,0.9,48979.3,1712.0,44671.4,7.4,7456.2,72.5,8.0,13.1,196.8,11.8,206,81.9,52.4
CAN,2016,34.3,0.0,47793.4,1706.0,45109.5,7.2,,72.6,8.1,12.5,,,207,82.0,53.1
CAN,2017,34.4,0.0,48247.1,1695.0,46810.3,7.4,,73.4,8.1,12.0,,,207,82.0,59.1
CAN,2017,34.4,0.0,48247.1,1695.0,46810.3,7.4,,73.4,8.1,12.0,,,207,82.0,53.8
CHE,2007,54.6,,60304.4,1668.9,49500.2,,7498.3,78.6,10.4,20.4,190.6,16.9,204,82.0,37.3
CHE,2008,53.2,,60629.7,1659.5,52362.6,,7425.6,79.5,10.2,,185.7,16.0,206,82.2,
CHE,2009,51.9,,61856.1,1650.8,51564.6,7.5,7918.6,79.0,10.1,,183.2,13.4,206,82.3,
CHE,2010,51.2,94.2,62002.9,1624.3,52859.8,,7968.9,77.3,10.0,,181.6,11.9,"2,075",82.6,
CHE,2011,50.8,95.4,62107.9,1619.3,56183.8,,7974.7,78.3,10.0,,181.2,12.1,209,82.8,
CHE,2012,50.4,93.1,63207.3,1603.2,57849.6,7.8,8161.7,78.5,9.9,20.4,177.7,12.0,208,82.8,41.0
CHE,2013,49.0,88.6,64180.9,1582.9,60108.5,,8299.2,78.4,9.8,,175.9,12.2,209,82.9,
CHE,2014,48.8,80.2,64284.5,1575.3,61902.2,7.5,8433.5,78.8,9.5,,172.9,11.4,"2,115",83.3,
CHE,2015,47.5,74.6,64222.8,1589.5,63939.0,7.6,8649.3,79.2,9.5,,174.3,11.9,209,83.0,
CHE,2016,46.2,54.1,64063.9,1589.7,64323.9,7.5,,79.6,9.3,,171.8,11.2,"2,145",83.7,
CHE,2017,45.2,54.0,63899.9,1570.0,66395.8,7.5,,79.8,9.2,19.1,,,214,83.6,41.8
CHL,2007,,,21967.2,2128.0,16872.3,5.7,1461.6,56.3,7.4,,201.2,11.8,175,77.5,
CHL,2008,,,22409.1,2095.0,16447.3,5.8,1687.1,57.3,7.4,,198.4,13.1,181,78.1,
CHL,2009,39.4,,24037.7,2074.0,16119.9,6.5,1916.3,56.1,7.2,29.8,206.5,13.3,183,78.2,64.5
CHL,2009,39.4,,24037.7,2074.0,16119.9,6.5,1916.3,56.1,7.2,29.8,206.5,13.3,183,78.2,55.5
CHL,2010,,98.5,24960.8,2070.0,18129.1,6.6,1894.2,59.3,7.6,,204.4,12.2,179,78.0,
CHL,2011,39.9,98.5,25106.4,2047.0,20302.8,6.5,1900.2,61.3,7.1,,202.2,12.3,184,78.7,
CHL,2012,,98.5,25914.9,2024.0,21446.5,6.6,2003.3,61.8,8.3,,201.8,11.0,"1,825",78.7,
CHL,2013,40.3,98.5,26583.8,2015.0,22352.5,6.7,2045.2,62.3,7.2,,196.3,10.3,191,79.5,
CHL,2014,,98.0,26803.5,1990.0,22687.9,6.8,2113.7,62.2,7.9,,193.9,10.4,"1,925",79.7,
CHL,2015,42.4,97.7,26759.2,1988.0,22593.3,6.5,2243.1,62.4,7.9,,193.2,10.7,"1,945",79.9,48.3
CHL,2016,,97.2,27655.3,1974.0,22788.3,6.6,2294.8,62.2,7.9,24.5,230.2,10.7,"1,965",80.2,74.2
CHL,2017,42.3,97.3,26766.6,1954.0,24180.8,6.3,2282.7,62.7,,,,,,,
CHN,2007,,,,,6842.7,4.9,,,3.9,,,,,74.6,
CHN,2008,,,,,7609.3,4.8,,,4.3,,,,,74.9,
CHN,2009,,,,,8340.6,4.5,,,4.9,26.5,,,,75.1,
CHN,2010,14.8,99.9,,,9290.3,4.7,,,5.8,26.2,,,,75.3,
CHN,2011,,99.9,,,10330.7,5.0,,,5.7,,,,,75.5,
CHN,2012,,99.9,,,11285.6,5.1,,,5.7,25.5,,,,75.7,
CHN,2013,,99.9,,,12290.3,5.2,,,5.8,,,,,75.8,
CHN,2014,,99.9,,,13349.5,5.2,,,5.8,,,,,76.0,
CHN,2015,,99.9,,,14350.4,5.3,,,5.7,24.7,,,,76.2,
CHN,2016,,99.9,,,15411.8,5.3,,,5.7,,,,,76.3,
CHN,2017,,99.9,,,16633.1,5.1,,,,,,,,76.5,
CIV,2009,,,,,,4.2,,,,,,,,,
CIV,2010,,100.0,,,,,,,,,,,,,
CIV,2011,,100.0,,,,,,,,,,,,,
CIV,2012,,100.0,,,,,,,,,,,,,
CIV,2013,,100.0,,,,3.7,,,,,,,,,
CIV,2014,,100.0,,,,3.6,,,,,,,,,
CIV,2015,,100.0,,,,4.4,,,,,,,,,
CIV,2016,,100.0,,,,4.5,,,,,,,,,
CIV,2017,,100.0,,,,5.0,,,,,,,,,
CMR,2007,,,,,,4.3,,,,,,,,,
CMR,2008,,,,,,4.3,,,,,,,,,
CMR,2009,,,,,,4.7,,,,,,,,,
CMR,2010,,99.6,,,,4.6,,,,,,,,,
CMR,2011,,99.6,,,,4.4,,,,,,,,,
CMR,2012,,99.6,,,,4.2,,,,,,,,,
CMR,2013,,99.6,,,,4.3,,,,,,,,,
CMR,2014,,99.6,,,,4.2,,,,,,,,,
CMR,2015,,99.6,,,,5.0,,,,,,,,,
CMR,2016,,99.6,,,,4.8,,,,,,,,,
CMR,2017,,99.6,,,,5.1,,,,,,,,,
COD,2009,,,,,,4.0,,,,,,,,,
COD,2010,,100.0,,,,,,,,,,,,,
COD,2011,,100.0,,,,4.5,,,,,,,,,
COD,2012,,100.0,,,,4.6,,,,,,,,,
COD,2013,,100.0,,,,4.5,,,,,,,,,
COD,2014,,100.0,,,,4.4,,,,,,,,,
COD,2015,,100.0,,,,3.9,,,,,,,,,
COD,2016,,100.0,,,,4.5,,,,,,,,,
COD,2017,,100.0,,,,4.3,,,,,,,,,
COG,2008,,,,,,3.8,,,,,,,,,
COG,2010,,99.9,,,,,,,,,,,,,
COG,2011,,99.9,,,,4.5,,,,,,,,,
COG,2012,,99.9,,,,3.9,,,,,,,,,
COG,2013,,99.9,,,,4.0,,,,,,,,,
COG,2014,,99.9,,,,4.1,,,,,,,,,
COG,2015,,99.9,,,,4.7,,,,,,,,,
COG,2016,,99.9,,,,4.1,,,,,,,,,
COG,2017,,99.9,,,,4.9,,,,,,,,,
COL,2007,,,,,9729.0,6.1,,60.2,4.6,,167.8,5.4,,72.8,
COL,2008,,,,,10139.6,6.2,,60.5,4.4,17.1,163.2,5.5,,73.0,
COL,2009,,,,,10301.2,6.3,,62.3,4.3,,159.7,5.4,,73.2,
COL,2010,,99.5,,,10741.5,6.4,,63.7,4.2,,157.6,4.9,,73.4,
COL,2011,,99.5,,,11553.7,6.5,,65.1,4.3,,148.1,4.7,,73.5,
COL,2012,,99.5,,,12165.9,6.4,,66.3,4.4,,150.4,4.8,,73.7,
COL,2013,,99.1,,,12841.3,6.6,,66.5,4.3,13.0,151.9,4.7,,73.9,
COL,2014,29.6,97.3,,,13535.7,6.4,,67.1,4.3,,155.1,4.8,,74.1,
COL,2015,28.8,96.3,,,13928.0,6.4,,67.6,4.4,,154.8,5.2,,74.2,
COL,2016,30.2,93.7,,,14276.1,6.2,,67.2,4.5,,,,,74.4,
COL,2017,31.3,93.2,,,14607.0,6.2,,66.9,,,,,,74.6,
COM,2009,,,,,,3.5,,,,,,,,,
COM,2010,,,,,,3.8,,,,,,,,,
COM,2011,,,,,,3.8,,,,,,,,,
COM,2012,,,,,,4.0,,,,,,,,,
CRI,2007,15.3,,,2387.0,11792.0,7.4,,,4.3,9.6,154.3,6.4,66,78.4,
CRI,2008,15.7,,,2392.0,12404.8,6.9,,,4.3,9.2,150.7,6.3,65,78.5,
CRI,2009,15.5,,,2348.0,12191.2,7.6,,,4.2,8.7,150.6,6.6,,78.7,
CRI,2010,15.9,99.8,,2243.1,12733.1,7.3,,,3.7,8.2,170.0,7.1,67,78.8,
CRI,2011,15.8,99.8,,2285.3,13428.9,7.2,,,3.5,7.7,161.7,7.1,72,79.1,
CRI,2012,15.9,99.8,,2233.4,14144.6,7.3,,,3.4,7.2,158.7,6.7,73,79.4,
CRI,2013,17.0,99.8,,2140.6,14512.5,7.2,,,3.5,6.7,157.2,7.0,,79.6,
CRI,2014,17.0,99.7,,2121.7,15098.9,7.2,,,3.6,6.2,156.0,5.8,,79.8,
CRI,2015,16.2,99.7,,2148.2,15623.8,6.9,,,3.6,5.8,,,,79.9,
CRI,2016,16.9,99.6,,2204.7,16332.4,7.1,,,3.7,5.2,,,,80.1,
CRI,2017,16.5,99.6,,2178.9,17088.8,7.2,,,3.3,4.7,,,,80.2,
CUB,2010,,99.7,,,,,,,,,,,,,
CUB,2011,,99.7,,,,,,,,,,,,,
CUB,2012,,99.7,,,,,,,,,,,,,
CUB,2013,,99.7,,,,,,,,,,,,,
CUB,2014,,99.7,,,,,,,,,,,,,
CUB,2015,,99.7,,,,,,,,,,,,,
CUB,2016,,99.7,,,,,,,,,,,,,
CUB,2017,,99.7,,,,,,,,,,,,,
